Name,Description,stats,gold,tags,plaintext
Null-Magic Mantle,<stats>+25 Magic Resist</stats>,{'FlatSpellBlockMod': 25},"{'base': 450, 'purchasable': True, 'total': 450, 'sell': 315}",['SpellBlock'],Slightly increases Magic Resist
,,,,,
Long Sword,<stats>+10 Attack Damage</stats>,{'FlatPhysicalDamageMod': 10},"{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}","['Damage', 'Lane']",Slightly increases Attack Damage
,,,,,
Pickaxe,<stats>+25 Attack Damage</stats>,{'FlatPhysicalDamageMod': 25},"{'base': 875, 'purchasable': True, 'total': 875, 'sell': 613}",['Damage'],Moderately increases Attack Damage
,,,,,
B. F. Sword,<stats>+40 Attack Damage</stats>,{'FlatPhysicalDamageMod': 40},"{'base': 1300, 'purchasable': True, 'total': 1300, 'sell': 910}",['Damage'],Greatly increases Attack Damage
,,,,,
Hunter's Talisman,"<br><unique>UNIQUE Passive - Tooth:</unique> Damaging a monster with a spell or attack  steals 30 Health over 5 seconds and burns them for 60 magic damage. <mana>While in the jungle or river, regenerate up to 8 Mana per second based on your missing Mana.</mana> This item grants <font color='#99BBBB'><a href='SpecialJungleExperience'>Monster Hunter</a></font>.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>",{},"{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}","['LifeSteal', 'ManaRegen', 'OnHit', 'Jungle']",Provides damage against Monsters and Mana Regen in the Jungle
,,,,,
Hunter's Machete,<stats>+10% Life Steal vs. Monsters</stats><br><br><unique>UNIQUE Passive - Nail:</unique> Basic attacks vs. Monsters deal 35 bonus damage on hit. This item grants <font color='#99BBBB'><a href='SpecialJungleExperience'>Monster Hunter</a></font>.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{},"{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}","['LifeSteal', 'OnHit', 'Jungle']",Provides damage and life steal versus Monsters
,,,,,
Dagger,<stats>+12% Attack Speed</stats>,{'PercentAttackSpeedMod': 0.12},"{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['AttackSpeed'],Slightly increases Attack Speed
,,,,,
Recurve Bow,<stats>+25% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal an additional 15 physical damage on hit.,{'PercentAttackSpeedMod': 0.25},"{'base': 400, 'purchasable': True, 'total': 1000, 'sell': 700}","['AttackSpeed', 'OnHit']",Greatly increases Attack Speed
,,,,,
Amplifying Tome,<stats>+20 Ability Power</stats>,{'FlatMagicDamageMod': 20},"{'base': 435, 'purchasable': True, 'total': 435, 'sell': 305}",['SpellDamage'],Slightly increases Ability Power
,,,,,
Vampiric Scepter,<stats>+15 Attack Damage<br>+10% Life Steal</stats>,"{'FlatPhysicalDamageMod': 15, 'PercentLifeStealMod': 0.1}","{'base': 550, 'purchasable': True, 'total': 900, 'sell': 630}","['Damage', 'LifeSteal']",Basic attacks restore Health
,,,,,
Doran's Shield,"<stats>+80 Health</stats><br><br><passive>Passive: </passive>Restores 6 Health every 5 seconds.<br><passive>Passive: </passive>Basic attacks deal an additional 5 physical damage to minions on hit.<br><unique>UNIQUE Passive:</unique> Regenerate up to 40 health over 8 seconds after taking damage from an enemy champion, based on percent missing health. (66% effective for Ranged Champions or Area of Effect and Periodic damage triggers)","{'FlatHPPoolMod': 80, 'FlatHPRegenMod': 1.2}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}","['Health', 'HealthRegen', 'Lane']",Good defensive starting item
,,,,,
Doran's Blade,<stats>+8 Attack Damage<br>+80 Health<br>+3% Life Steal</stats>,"{'FlatPhysicalDamageMod': 8, 'FlatHPPoolMod': 80, 'PercentLifeStealMod': 0.03}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}","['Damage', 'Health', 'Lane', 'LifeSteal']",Good starting item for attackers
,,,,,
Doran's Ring,<stats>+60 Health<br>+15 Ability Power<br><mana>+5 Mana per 5 seconds</mana></stats><br><br><passive>Passive: </passive>Basic attacks deal an additional 5 physical damage to minions on hit.,"{'FlatHPPoolMod': 60, 'FlatMagicDamageMod': 15}","{'base': 400, 'purchasable': True, 'total': 400, 'sell': 160}","['Health', 'Lane', 'ManaRegen', 'SpellDamage']",Good starting item for casters
,,,,,
Negatron Cloak,<stats>+40 Magic Resist</stats>,{'FlatSpellBlockMod': 40},"{'base': 270, 'purchasable': True, 'total': 720, 'sell': 504}",['SpellBlock'],Moderately increases Magic Resist
,,,,,
Needlessly Large Rod,<stats>+60 Ability Power</stats>,{'FlatMagicDamageMod': 60},"{'base': 1250, 'purchasable': True, 'total': 1250, 'sell': 875}",['SpellDamage'],Greatly increases Ability Power
,,,,,
Dark Seal,"<stats>+10 Ability Power<br>+25% Increased Healing from Potions<br><mana>+100 Mana</mana></stats><br><br><unique>UNIQUE Passive - Dread:</unique> Grants +3 Ability Power per Glory.  <br><unique>UNIQUE Passive - Do or Die:</unique> Grants 2 Glory for a champion kill or 1 Glory for an assist, up to 10 Glory total. Lose 4 Glory on death.","{'FlatMPPoolMod': 100, 'FlatMagicDamageMod': 10}","{'base': 350, 'purchasable': True, 'total': 350, 'sell': 140}","['HealthRegen', 'SpellDamage', 'Mana', 'Lane']",Provides Ability Power and Mana.  Increases in power as you kill enemies.
,,,,,
Cull,<stats>+7 Attack Damage<br>+3 Life on Hit</stats><br><br><unique>UNIQUE Passive:</unique> Killing a lane minion grants 1 additional Gold. Killing 100 lane minions grants an additional 350 bonus gold immediately and disables this passive.,{'FlatPhysicalDamageMod': 7},"{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}","['Damage', 'LifeSteal', 'Lane']",Provides damage and Life Steal on hit - Killing minions grant bonus Gold
,,,,,
Enchantment: Warrior,<stats>+60 Attack Damage<br>+10% Cooldown Reduction</stats><br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{'FlatPhysicalDamageMod': 60},"{'base': 525, 'purchasable': True, 'total': 2625, 'sell': 1838}",[],Grants Attack Damage and Cooldown Reduction
,,,,,
Enchantment: Cinderhulk,<stats>+300 Health<br>+15% Bonus Health</stats><br><br><unique>UNIQUE Passive - Immolate:</unique> Deals 11 (+1 per champion level) magic damage a second to nearby enemies while in combat. Deals 300% bonus damage to minions and monsters.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{'FlatHPPoolMod': 300},"{'base': 600, 'purchasable': True, 'total': 2500, 'sell': 1750}",[],Grants Health and Immolate Aura
,,,,,
Enchantment: Runic Echoes,"<stats>+80 Ability Power<br>+10% Cooldown Reduction<br><mana>+300 Mana</mana></stats><br><br><unique>UNIQUE Passive - Echo:</unique> Gain charges upon moving or casting. At 100 charges, the next damaging spell hit expends all charges to deal 60 (+10% of Ability Power) bonus magic damage to up to 4 targets on hit.<br><br>This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 25% of your missing Mana.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>","{'FlatMPPoolMod': 300, 'FlatMagicDamageMod': 80}","{'base': 250, 'purchasable': True, 'total': 2500, 'sell': 1750}",[],Grants Ability Power and periodically empowers your Spells
,,,,,
Enchantment: Warrior,<stats>+60 Attack Damage<br>+10% Cooldown Reduction</stats><br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{'FlatPhysicalDamageMod': 60},"{'base': 525, 'purchasable': True, 'total': 2625, 'sell': 1838}",[],Grants Attack Damage and Cooldown Reduction
,,,,,
Enchantment: Cinderhulk,<stats>+300 Health<br>+15% Bonus Health</stats><br><br><unique>UNIQUE Passive - Immolate:</unique> Deals 11 (+1 per champion level) magic damage a second to nearby enemies while in combat. Deals 300% bonus damage to minions and monsters.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{'FlatHPPoolMod': 300},"{'base': 600, 'purchasable': True, 'total': 2500, 'sell': 1750}",[],Grants Health and Immolate Aura
,,,,,
Enchantment: Runic Echoes,"<stats>+80 Ability Power<br>+10% Cooldown Reduction<br><mana>+300 Mana</mana></stats><br><br><unique>UNIQUE Passive - Echo:</unique> Gain charges upon moving or casting. At 100 charges, the next damaging spell hit expends all charges to deal 60 (+10% of Ability Power) bonus magic damage to up to 4 targets on hit.<br><br>This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 25% of your missing Mana.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>","{'FlatMPPoolMod': 300, 'FlatMagicDamageMod': 80}","{'base': 250, 'purchasable': True, 'total': 2500, 'sell': 1750}",[],Grants Ability Power and periodically empowers your Spells
,,,,,
Enchantment: Bloodrazor,<stats>+50% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal 4% of the target's maximum Health in bonus physical damage (max 75 vs. monsters and minions) on hit.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{'PercentAttackSpeedMod': 0.5},"{'base': 625, 'purchasable': True, 'total': 2625, 'sell': 1838}",[],Increases Attack Speed and deals damage based on the target's Health
,,,,,
Enchantment: Bloodrazor,<stats>+50% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal 4% of the target's maximum Health in bonus physical damage (max 75 vs. monsters and minions) on hit.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,{'PercentAttackSpeedMod': 0.5},"{'base': 625, 'purchasable': True, 'total': 2625, 'sell': 1838}",[],Increases Attack Speed and deals damage based on the target's Health
,,,,,
Health Potion,<groupLimit>Limited to 5 at one time. Limited to 1 type of Healing Potion.</groupLimit><br><br><consumable>Click to Consume:</consumable> Restores 150 Health over 15 seconds.,{},"{'base': 50, 'purchasable': True, 'total': 50, 'sell': 20}","['Consumable', 'Jungle', 'Lane']",Consume to restore Health over time
,,,,,
Showdown Health Potion,<groupLimit>Limited to 2 at one time. Limited to 1 type of Healing Potion.</groupLimit><br><br><consumable>Click to Consume:</consumable> Restores 150 Health over 15 seconds.,{},"{'base': 50, 'purchasable': True, 'total': 50, 'sell': 20}","['Consumable', 'Jungle', 'Lane']",Consume to restore Health over time
,,,,,
Total Biscuit of Rejuvenation,<consumable>Click to Consume:</consumable> Restores 80 Health and 50 Mana over 10 seconds.,{},"{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",[],
,,,,,
Total Biscuit of Everlasting Will,<consumable>Click to Consume:</consumable> Restores 10% of missing Health and Mana over 5 seconds.,{},"{'base': 75, 'purchasable': False, 'total': 75, 'sell': 30}",[],
,,,,,
Kircheis Shard,<stats>+15% Attack Speed</stats><br><br><unique>UNIQUE Passive - Energized:</unique> Moving and attacking will make an attack <a href='Energized'>Energized</a>. <br><unique>UNIQUE Passive - Jolt:</unique> Energized attacks gain <magicDamage>80 bonus magic damage</magicDamage>.,{'PercentAttackSpeedMod': 0.15},"{'base': 400, 'purchasable': True, 'total': 700, 'sell': 490}","['AttackSpeed', 'OnHit']",Attack speed and a chargable magic hit
,,,,,
Refillable Potion,<groupLimit>Limited to 1 type of Healing Potion.</groupLimit><br><br><active>UNIQUE Active:</active> Consumes a charge to restore 125 Health over 12 seconds. Holds up to 2 charges and refills upon visiting the shop.,{},"{'base': 150, 'purchasable': True, 'total': 150, 'sell': 60}","['HealthRegen', 'Consumable', 'Active', 'Lane', 'Jungle']",Restores Health over time. Refills at shop.
,,,,,
Corrupting Potion,<groupLimit>Limited to 1 type of Healing Potion.</groupLimit><br><br><active>UNIQUE Active:</active> Consumes a charge to restore 125 Health and 75 Mana over 12 seconds and grants <font color='#FF8811'><u>Touch of Corruption</u></font> during that time. Holds up to 3 charges that refills upon visiting the shop.<br><br><font color='#FF8811'><u>Touch of Corruption:</u></font> Damaging spells and attacks burn enemy champions for 15 magic damage over 3 seconds. (50% Damage for Area of Effect or Damage over Time spells. Damage increases with champion level.)<br><br><rules>(Corrupting Potion can be used even at full Health and Mana.)</rules>,{},"{'base': 350, 'purchasable': True, 'total': 500, 'sell': 200}","['Active', 'Consumable', 'HealthRegen', 'Lane', 'ManaRegen']",Restores Health and Mana over time and boosts combat power - Refills at Shop
,,,,,
Oracle's Extract,<consumable>Click to Consume:</consumable> Grants detection of nearby invisible or unseen enemy units for 5 minutes.,{},"{'base': 300, 'purchasable': True, 'total': 300, 'sell': 120}","['Consumable', 'Stealth', 'Vision']",Allows champion to see invisible or unseen enemy units
,,,,,
Guardian's Horn,<stats>+150 Health</stats><br><br><passive>Passive: </passive>Restores 20 Health every 5 seconds.<br><unique>UNIQUE Passive:</unique> Blocks 12 damage from attacks and spells from champions (25% effectiveness vs. damage over time abilities).<br><br><groupLimit>Limited to 1 Guardian's Item.</groupLimit>,"{'FlatHPPoolMod': 150, 'FlatHPRegenMod': 4}","{'base': 950, 'purchasable': True, 'total': 950, 'sell': 380}","['Health', 'HealthRegen', 'Lane']",Good starting item for tanks
,,,,,
Poro-Snax,"This savory blend of free-range, grass-fed Avarosan game hens and organic, non-ZMO Freljordian herbs contains the essential nutrients necessary to keep your Poro purring with pleasure.<br><br><i>All proceeds will be donated towards fighting Noxian animal cruelty.</i>",{},"{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",[],
,,,,,
Diet Poro-Snax,"All the flavor of regular Poro-Snax, without the calories! Keeps your Poro happy AND healthy.<br><br><consumable>Click to Consume:</consumable> Gives your Poros a delicious healthy treat.",{},"{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",[],
,,,,,
Control Ward,<groupLimit>Can only carry 2 Control Wards in inventory.</groupLimit><br><br><consumable>Click to Consume:</consumable> Places a ward that grants vision of the surrounding area. This device will also reveal invisible traps and reveal / disable wards. Control Wards do not disable other Control Wards. Camouflaged units will also be revealed. <br><br>Limit 1 <font color='#BBFFFF'>Control Ward</font> on the map per player.,{},"{'base': 75, 'purchasable': True, 'total': 75, 'sell': 30}","['Consumable', 'Lane', 'Stealth', 'Vision']",Used to disable wards and invisible traps in an area.
,,,,,
Shurelya's Reverie,<stats>+300 Health<br>+10% Cooldown Reduction<br><mana>+100% Base Mana Regen </mana><br>+100% Base Health Regen <br></stats><br><unique>UNIQUE Passive:</unique> +10% Heal and Shield Power<br><active>UNIQUE Active:</active> Grants yourself and nearby allies +40% Movement Speed for 3 seconds. (90 second cooldown).,{'FlatHPPoolMod': 300},"{'base': 600, 'purchasable': True, 'total': 2050, 'sell': 1435}","['Health', 'HealthRegen', 'ManaRegen', 'Active', 'CooldownReduction', 'NonbootsMovement']",Activate to speed up nearby allies.
,,,,,
Elixir of Iron,"<stats><levelLimit>Level 9 required to purchase.</levelLimit></stats><br><br><consumable>Click to Consume:</consumable> Grants +300 Health, 25% Tenacity, increased champion size, and <font color='#FF8811'><u>Path of Iron</u></font> for 3 minutes.<br><br><font color='#FF8811'><u>Path of Iron:</u></font> Moving leaves a path behind that boosts allied champion's Movement Speed by 15%.<br><br><rules>(Only one Elixir effect may be active at a time.)</rules>",{},"{'base': 500, 'purchasable': True, 'total': 500, 'sell': 200}","['Health', 'Consumable', 'NonbootsMovement', 'Tenacity']",Temporarily increases defenses. Leaves a trail for allies to follow.
,,,,,
Elixir of Sorcery,"<stats><levelLimit>Level 9 required to purchase.</levelLimit></stats><br><br><consumable>Click to Consume:</consumable> Grants +50 Ability Power, 15 bonus Mana Regen per 5 seconds and <font color='#FF8811'><u>Sorcery</u></font> for 3 minutes. <br><br><font color='#FF8811'><u>Sorcery:</u></font> Damaging a champion or turret deals 25 bonus True Damage. This effect has a 5 second cooldown versus champions but no cooldown versus turrets.<br><br><rules>(Only one Elixir effect may be active at a time.)</rules><br>",{},"{'base': 500, 'purchasable': True, 'total': 500, 'sell': 200}","['Consumable', 'ManaRegen', 'SpellDamage']",Temporarily grants Ability Power and Bonus Damage to champions and turrets.
,,,,,
Elixir of Wrath,<stats><levelLimit>Level 9 required to purchase.</levelLimit></stats><br><br><consumable>Click to Consume:</consumable> Grants +30 Attack Damage and <font color='#FF8811'><u>Bloodlust</u></font> for 3 minutes.<br><br><font color='#FF8811'><u>Bloodlust:</u></font> Dealing physical damage to champions heals for 15% of the damage dealt.<br><br><rules>(Only one Elixir effect may be active at a time.)</rules>,{},"{'base': 500, 'purchasable': True, 'total': 500, 'sell': 200}","['Consumable', 'Damage', 'LifeSteal', 'SpellVamp']",Temporarily grants Attack Damage and heals you when dealing physical damage to champions.
,,,,,
Minion Dematerializer,"<consumable>Click to Consume:</consumable> Kill target Lane Minion (550 Range, 10 Second Cooldown).",{},"{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",[],
,,,,,
Commencing Stopwatch,Transforms into a Stopwatch after 10 minutes. That Stopwatch contributes 250 gold for the items it builds into.<br><br><rules>(Stopwatch normally contributes 600 gold)</rules>,{},"{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",['Active'],
,,,,,
Stopwatch,"<active>UNIQUE Active - Stasis:</active> Champion becomes invulnerable and untargetable for 2.5 seconds, but is unable to move, attack, cast spells, or use items during this time (One time use).",{},"{'base': 600, 'purchasable': True, 'total': 600, 'sell': 240}",['Active'],Activate to become invincible but unable to take actions
,,,,,
Broken Stopwatch,"<unique>UNIQUE Passive:</unique> Is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you Broken Stopwatches.</rules>",{},"{'base': 600, 'purchasable': True, 'total': 600, 'sell': 240}",[],Upgrades to stopwatch
,,,,,
Slightly Magical Boots,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed<br><br><unique>UNIQUE Passive:</unique> +10 Movement Speed<br><br>Boots that build from Slightly Magical Boots retain the +10 Movement Speed.,{'FlatMovementSpeedMod': 25},"{'base': 300, 'purchasable': False, 'total': 300, 'sell': 210}",['Boots'],Slightly increases Movement Speed
,,,,,
Stopwatch,"<active>UNIQUE Active - Stasis:</active> Champion becomes invulnerable and untargetable for 2.5 seconds, but is unable to move, attack, cast spells, or use items during this time (One time use).",{},"{'base': 600, 'purchasable': False, 'total': 600, 'sell': 240}",['Active'],
,,,,,
Broken Stopwatch,"<unique>UNIQUE Passive:</unique> Is broken, but can still be upgraded.<br><br><rules>After breaking one Stopwatch, the shopkeeper will only sell you Broken Stopwatches.</rules>",{},"{'base': 600, 'purchasable': False, 'total': 600, 'sell': 240}",[],
,,,,,
Abyssal Mask,"<stats>+350 Health<br><mana>+300 Mana</mana><br>+55 Magic Resist<br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Eternity:</unique> 15% of damage taken from champions is gained as Mana. Spending Mana restores 20% of the cost as Health, up to 25 per spell cast.<br><aura>UNIQUE Aura:</aura> Nearby enemy champions take 15% more magic damage.","{'FlatHPPoolMod': 350, 'FlatSpellBlockMod': 55, 'FlatMPPoolMod': 300}","{'base': 1180, 'purchasable': True, 'total': 3000, 'sell': 2100}","['Health', 'SpellBlock', 'HealthRegen', 'Mana', 'ManaRegen', 'Aura', 'CooldownReduction', 'MagicPenetration']",Nearby enemies take more magic damage
,,,,,
Archangel's Staff,<stats>+50 Ability Power<br><mana>+650 Mana</mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Haste:</unique> This item gains an additional 10% Cooldown Reduction.<br><mana><unique>UNIQUE Passive - Awe:</unique> Grants Ability Power equal to 1% of maximum Mana. Refunds 25% of Mana spent.<br><unique>UNIQUE Passive - Mana Charge:</unique> Grants +8 maximum Mana (max +750 Mana) for each Mana expenditure (occurs up to 3 times every 12 seconds).<br><br>Transforms into Seraph's Embrace at +750 Mana.</mana><br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,"{'FlatMPPoolMod': 650, 'FlatMagicDamageMod': 50}","{'base': 1050, 'purchasable': True, 'total': 3200, 'sell': 2240}","['SpellDamage', 'Mana', 'ManaRegen', 'CooldownReduction']",Increases Ability Power based on maximum Mana
,,,,,
Manamune,<stats>+35 Attack Damage<br><mana>+250 Mana</mana></stats><br><br><mana><unique>UNIQUE Passive - Awe:</unique> Grants bonus Attack Damage equal to 2% of maximum Mana. Refunds 15% of Mana spent.<br><unique>UNIQUE Passive - Mana Charge:</unique> Grants +5 maximum Mana (max +750 Mana) for each basic attack or Mana expenditure (occurs up to 3 times every 12 seconds).<br><br>Transforms into Muramana at +750 Mana.</mana><br><br><groupLimit>Limited to 1 Tear item.</groupLimit>,"{'FlatPhysicalDamageMod': 35, 'FlatMPPoolMod': 250}","{'base': 675, 'purchasable': True, 'total': 2400, 'sell': 1680}","['Damage', 'Mana', 'ManaRegen', 'OnHit']",Increases Attack Damage based on maximum Mana
,,,,,
Berserker's Greaves,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><stats> +35% Attack Speed</stats><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +45 Movement Speed,"{'FlatMovementSpeedMod': 45, 'PercentAttackSpeedMod': 0.35}","{'base': 500, 'purchasable': True, 'total': 1100, 'sell': 770}","['AttackSpeed', 'Boots']",Enhances Movement Speed and Attack Speed
,,,,,
Archangel's Staff (Quick Charge),<stats>+50 Ability Power<br><mana>+650 Mana</mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Haste:</unique> This item gains an additional 10% Cooldown Reduction.<br><mana><unique>UNIQUE Passive - Awe:</unique> Grants Ability Power equal to 1% of maximum Mana. Refunds 25% of Mana spent. <br><unique>UNIQUE Passive - Mana Charge:</unique> Grants +12 maximum Mana (max +750 Mana) for each Mana expenditure (occurs up to 3 times every 12 seconds).<br><br>Transforms into Seraph's Embrace at +750 Mana.</mana>,"{'FlatMPPoolMod': 650, 'FlatMagicDamageMod': 50}","{'base': 1050, 'purchasable': True, 'total': 3200, 'sell': 2240}","['SpellDamage', 'Mana', 'ManaRegen', 'CooldownReduction']",Increases Ability Power based on maximum Mana
,,,,,
Manamune (Quick Charge),<stats>+35 Attack Damage<br><mana>+250 Mana</mana></stats><br><br><mana><unique>UNIQUE Passive - Awe:</unique> Grants bonus Attack Damage equal to 2% of maximum Mana. Refunds 15% of Mana spent.<br><unique>UNIQUE Passive - Mana Charge:</unique> Grants +6 maximum Mana (max +750 Mana) for each basic attack or Mana expenditure (occurs up to 3 times every 12 seconds).<br><br>Transforms into Muramana at +750 Mana.</mana>,"{'FlatPhysicalDamageMod': 35, 'FlatMPPoolMod': 250}","{'base': 675, 'purchasable': True, 'total': 2400, 'sell': 1680}","['Damage', 'Mana', 'ManaRegen', 'OnHit']",Increases Attack Damage based on maximum Mana
,,,,,
Boots of Swiftness,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +55 Movement Speed<br><unique>UNIQUE Passive - Slow Resist:</unique> Movement slowing effects are reduced by 25%.,{'FlatMovementSpeedMod': 55},"{'base': 600, 'purchasable': True, 'total': 900, 'sell': 630}",['Boots'],Enhances Movement Speed and reduces the effect of slows
,,,,,
Catalyst of Aeons,"<stats>+225 Health<br><mana>+300 Mana</mana></stats><br><br><unique>UNIQUE Passive - Eternity:</unique> 15% of damage taken from champions is gained as Mana. <br><br>Spending Mana restores 20% of the cost as Health, up to 15 per spell cast.  <br><br><rules>(Toggled Spells heal for a maximum of 15 per second.)</rules>","{'FlatHPPoolMod': 225, 'FlatMPPoolMod': 300}","{'base': 350, 'purchasable': True, 'total': 1100, 'sell': 770}","['Health', 'HealthRegen', 'Mana', 'ManaRegen']",Spend Mana to recover Health
,,,,,
Sorcerer's Shoes,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><stats>+18 <a href='FlatMagicPen'>Magic Penetration</a></stats><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +45 Movement Speed,{'FlatMovementSpeedMod': 45},"{'base': 800, 'purchasable': True, 'total': 1100, 'sell': 770}","['Boots', 'MagicPenetration']",Enhances Movement Speed and magic damage
,,,,,
Frozen Mallet,"<stats>+700 Health<br>+30 Attack Damage</stats><br><br><unique>UNIQUE Passive - Icy:</unique> Basic attacks slow the target's Movement Speed for 1.5 seconds on hit (40% slow for melee attacks, 20% slow for ranged attacks).","{'FlatPhysicalDamageMod': 30, 'FlatHPPoolMod': 700}","{'base': 900, 'purchasable': True, 'total': 3100, 'sell': 2170}","['Damage', 'Health', 'OnHit', 'Slow']",Basic attacks slow enemies
,,,,,
Glacial Shroud,<stats>+20 Armor<br><mana>+250 Mana</mana></stats><br><br><unique>UNIQUE Passive:</unique> +10% Cooldown Reduction,"{'FlatMPPoolMod': 250, 'FlatArmorMod': 20}","{'base': 250, 'purchasable': True, 'total': 900, 'sell': 630}","['Armor', 'CooldownReduction', 'Mana']",Increases Armor and Cooldown Reduction
,,,,,
Iceborn Gauntlet,"<stats>+65 Armor<br>+20% Cooldown Reduction<br><mana>+500 Mana</mana></stats><br><br><unique>UNIQUE Passive - Spellblade:</unique> After using an ability, the next basic attack deals bonus physical damage equal to 100% of base Attack Damage in an area and creates an icy zone for 2 seconds that slows Movement Speed by 30% (1.5 second cooldown).<br><br>Size of zone increases with bonus armor.","{'FlatMPPoolMod': 500, 'FlatArmorMod': 65}","{'base': 750, 'purchasable': True, 'total': 2700, 'sell': 1890}","['Armor', 'Mana', 'CooldownReduction', 'Slow']",Basic attacks create a slow field after spell cast
,,,,,
Guardian Angel,"<stats>+45 Attack Damage<br>+40 Armor</stats><br><br><unique>UNIQUE Passive:</unique> Upon taking lethal damage, restores 50% of base Health and 30% of maximum Mana after 4 seconds of stasis (300 second cooldown).","{'FlatPhysicalDamageMod': 45, 'FlatArmorMod': 40}","{'base': 100, 'purchasable': True, 'total': 2800, 'sell': 1120}","['Armor', 'Damage']",Periodically revives champion upon death
,,,,,
